transaction_id,date,description,amount,type,category,merchant,transaction_tag
TXN0000125,3/9/2024,Taco Bell,-17.28,debit,Dining Out,Taco Bell,normal
TXN0000127,3/10/2024,AT&T Phone,-65.0,debit,Utilities,AT&T Phone,bill
TXN0000128,3/12/2024,Spotify Premium,-10.99,debit,Entertainment,Spotify,subscription
TXN0000129,3/12/2024,Shell,-65.77,debit,Transportation,Shell,normal
TXN0000130,3/13/2024,Walmart,-195.62,debit,Groceries,Walmart,normal
TXN0000131,3/14/2024,Geico Auto Insurance,-165.0,debit,Insurance,Geico,bill
TXN0000132,3/14/2024,Target,-33.06,debit,Groceries,Target,normal
TXN0000133,3/14/2024,Target,-120.31,debit,Groceries,Target,normal
TXN0000136,3/15/2024,Starbucks - Coffee,-8.92,debit,Food & Drink,Starbucks,normal
TXN0000134,3/15/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000135,3/15/2024,Netflix Subscription,-15.49,debit,Entertainment,Netflix,subscription
TXN0000137,3/15/2024,Target,-149.64,debit,Groceries,Target,normal
TXN0000139,3/16/2024,Shake Shack,-45.71,debit,Dining Out,Shake Shack,normal
TXN0000138,3/16/2024,Dunkin - Coffee,-10.77,debit,Food & Drink,Dunkin,normal
TXN0000140,3/17/2024,Target,-172.45,debit,Groceries,Target,normal
TXN0000141,3/18/2024,Headspace Premium,-12.49,debit,Health,Headspace,subscription
TXN0000142,3/18/2024,Five Guys,-36.45,debit,Dining Out,Five Guys,normal
TXN0000143,3/19/2024,H&M,-143.5,debit,Shopping,H&M,normal
TXN0000144,3/19/2024,Local Cafe - Coffee,-5.4,debit,Food & Drink,Local Cafe,normal
TXN0000145,3/20/2024,Amazon Prime Membership,-14.99,debit,Shopping,Amazon Prime Video,subscription
TXN0000146,3/20/2024,Shake Shack,-31.72,debit,Dining Out,Shake Shack,normal
TXN0000147,3/20/2024,Chipotle,-21.14,debit,Dining Out,Chipotle,normal
TXN0000148,3/20/2024,Whole Foods,-114.83,debit,Groceries,Whole Foods,normal
TXN0000149,3/21/2024,H&M,-97.56,debit,Shopping,H&M,normal
TXN0000150,3/23/2024,Taco Bell,-16.49,debit,Dining Out,Taco Bell,normal
TXN0000151,3/24/2024,Shell,-47.84,debit,Transportation,Shell,normal
TXN0000152,3/24/2024,Uber Ride,-28.44,debit,Transportation,Uber,normal
TXN0000153,3/24/2024,Trader Joes,-60.94,debit,Groceries,Trader Joes,normal
TXN0000154,3/25/2024,Blue Bottle Coffee - Coffee,-6.0,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000155,3/25/2024,Walmart,-75.53,debit,Groceries,Walmart,normal
TXN0000156,3/26/2024,Safeway,-156.7,debit,Groceries,Safeway,normal
TXN0000157,3/27/2024,H&M,-47.05,debit,Shopping,H&M,normal
TXN0000158,3/27/2024,Blue Bottle Coffee - Coffee,-8.0,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000159,3/27/2024,IKEA,-289.73,debit,Shopping,IKEA,normal
TXN0000162,3/28/2024,Local Cafe - Coffee,-5.11,debit,Food & Drink,Local Cafe,normal
TXN0000160,3/28/2024,Pizza Hut,-24.88,debit,Dining Out,Pizza Hut,normal
TXN0000161,3/28/2024,Starbucks - Coffee,-5.04,debit,Food & Drink,Starbucks,normal
TXN0000163,3/29/2024,Dunkin - Coffee,-6.21,debit,Food & Drink,Dunkin,normal
TXN0000164,3/29/2024,Local Cafe - Coffee,-6.72,debit,Food & Drink,Local Cafe,normal
TXN0000165,3/29/2024,Shell,-48.28,debit,Transportation,Shell,normal
TXN0000166,3/30/2024,Shell,-51.3,debit,Transportation,Shell,normal
TXN0000167,3/30/2024,Uber Ride,-30.06,debit,Transportation,Uber,normal
TXN0000168,3/31/2024,Trader Joes,-50.76,debit,Groceries,Trader Joes,normal
TXN0000169,3/31/2024,Chevron,-60.25,debit,Transportation,Chevron,normal
TXN0000170,3/31/2024,Walmart,-44.63,debit,Groceries,Walmart,normal
TXN0000172,4/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000175,4/1/2024,Walmart,-149.73,debit,Groceries,Walmart,normal
TXN0000174,4/1/2024,Blue Bottle Coffee - Coffee,-6.58,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000171,4/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000173,4/1/2024,Walmart,-149.2,debit,Groceries,Walmart,normal
TXN0000179,4/3/2024,Shake Shack,-27.09,debit,Dining Out,Shake Shack,normal
TXN0000176,4/3/2024,Planet Fitness Monthly,-24.99,debit,Fitness,Planet Fitness,subscription
TXN0000177,4/3/2024,Safeway,-64.63,debit,Groceries,Safeway,normal
TXN0000178,4/3/2024,Blue Bottle Coffee - Coffee,-8.22,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000180,4/4/2024,Taco Bell,-20.21,debit,Dining Out,Taco Bell,normal
TXN0000181,4/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000183,4/6/2024,Five Guys,-52.95,debit,Dining Out,Five Guys,normal
TXN0000184,4/6/2024,Taco Bell,-24.02,debit,Dining Out,Taco Bell,normal
TXN0000182,4/6/2024,Chevron,-84.68,debit,Transportation,Chevron,normal
TXN0000186,4/7/2024,Chevron,-72.93,debit,Transportation,Chevron,normal
TXN0000185,4/7/2024,Comcast Internet,-79.99,debit,Utilities,Comcast Internet,bill
TXN0000187,4/8/2024,Hulu + Live TV,-69.99,debit,Entertainment,Hulu,subscription
TXN0000188,4/8/2024,Shake Shack,-22.93,debit,Dining Out,Shake Shack,normal
TXN0000189,4/8/2024,Pizza Hut,-14.79,debit,Dining Out,Pizza Hut,normal
TXN0000190,4/8/2024,Shell,-34.43,debit,Transportation,Shell,normal
TXN0000191,4/10/2024,AT&T Phone,-65.0,debit,Utilities,AT&T Phone,bill
TXN0000192,4/11/2024,Safeway,-42.98,debit,Groceries,Safeway,normal
TXN0000193,4/11/2024,Trader Joes,-133.97,debit,Groceries,Trader Joes,normal
TXN0000194,4/11/2024,Pizza Hut,-23.13,debit,Dining Out,Pizza Hut,normal
TXN0000197,4/12/2024,Taco Bell,-22.95,debit,Dining Out,Taco Bell,normal
TXN0000198,4/12/2024,Blue Bottle Coffee - Coffee,-7.91,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000195,4/12/2024,Spotify Premium,-10.99,debit,Entertainment,Spotify,subscription
TXN0000196,4/12/2024,Target,-52.16,debit,Groceries,Target,normal
TXN0000199,4/14/2024,Geico Auto Insurance,-165.0,debit,Insurance,Geico,bill
TXN0000200,4/14/2024,Walmart,-79.72,debit,Groceries,Walmart,normal
TXN0000201,4/14/2024,Dunkin - Coffee,-7.74,debit,Food & Drink,Dunkin,normal
TXN0000202,4/15/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000203,4/15/2024,Netflix Subscription,-15.99,debit,Entertainment,Netflix,subscription
TXN0000204,4/15/2024,Walmart,-176.65,debit,Groceries,Walmart,normal
TXN0000205,4/16/2024,Shell,-46.53,debit,Transportation,Shell,normal
TXN0000206,4/17/2024,H&M,-90.7,debit,Shopping,H&M,normal
TXN0000208,4/18/2024,Chipotle,-32.3,debit,Dining Out,Chipotle,normal
TXN0000207,4/18/2024,Headspace Premium,-12.99,debit,Health,Headspace,subscription
TXN0000210,4/19/2024,Pizza Hut,-21.67,debit,Dining Out,Pizza Hut,normal
TXN0000209,4/19/2024,IKEA,-140.02,debit,Shopping,IKEA,normal
TXN0000211,4/20/2024,Amazon Prime Membership,-14.99,debit,Shopping,Amazon Prime Video,subscription
TXN0000212,4/20/2024,Local Cafe - Coffee,-6.73,debit,Food & Drink,Local Cafe,normal
TXN0000213,4/23/2024,Five Guys,-52.03,debit,Dining Out,Five Guys,normal
TXN0000214,4/23/2024,Shake Shack,-44.58,debit,Dining Out,Shake Shack,normal
TXN0000215,4/23/2024,Taco Bell,-11.55,debit,Dining Out,Taco Bell,normal
TXN0000216,4/24/2024,Shell,-46.1,debit,Transportation,Shell,normal
TXN0000217,4/24/2024,Taco Bell,-24.48,debit,Dining Out,Taco Bell,normal
TXN0000218,4/24/2024,Home Depot - Renovation Supplies,-980.0,debit,Home Improvement,Home Depot,normal
TXN0000219,4/25/2024,H&M,-54.52,debit,Shopping,H&M,normal
TXN0000220,4/25/2024,76 Gas,-42.39,debit,Transportation,76 Gas,normal
TXN0000222,4/26/2024,Blue Bottle Coffee - Coffee,-8.97,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000221,4/26/2024,Shake Shack,-16.89,debit,Dining Out,Shake Shack,normal
TXN0000223,4/27/2024,IKEA,-160.8,debit,Shopping,IKEA,normal
TXN0000224,4/27/2024,Pizza Hut,-29.76,debit,Dining Out,Pizza Hut,normal
TXN0000225,4/27/2024,Shake Shack,-46.21,debit,Dining Out,Shake Shack,normal
TXN0000226,4/28/2024,Target,-30.35,debit,Groceries,Target,normal
TXN0000227,4/28/2024,Target,-85.52,debit,Groceries,Target,normal
TXN0000228,4/29/2024,Blue Bottle Coffee - Coffee,-9.17,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000229,4/30/2024,Chevron,-49.48,debit,Transportation,Chevron,normal
TXN0000230,5/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000231,5/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000232,5/2/2024,Pizza Hut,-15.47,debit,Dining Out,Pizza Hut,normal
TXN0000233,5/3/2024,Planet Fitness Monthly,-24.49,debit,Fitness,Planet Fitness,subscription
TXN0000234,5/3/2024,Chevron,-54.56,debit,Transportation,Chevron,normal
TXN0000235,5/3/2024,Five Guys,-36.7,debit,Dining Out,Five Guys,normal
TXN0000236,5/4/2024,Five Guys,-29.94,debit,Dining Out,Five Guys,normal
TXN0000237,5/4/2024,Target,-140.81,debit,Groceries,Target,normal
TXN0000238,5/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000239,5/5/2024,Local Cafe - Coffee,-7.82,debit,Food & Drink,Local Cafe,normal
TXN0000240,5/5/2024,Trader Joes,-117.02,debit,Groceries,Trader Joes,normal
TXN0000241,5/5/2024,ATM Withdrawal,-700.0,debit,Cash,ATM Withdrawal,normal
TXN0000243,5/6/2024,Chipotle,-29.31,debit,Dining Out,Chipotle,normal
TXN0000242,5/6/2024,Local Cafe - Coffee,-4.84,debit,Food & Drink,Local Cafe,normal
TXN0000244,5/7/2024,Comcast Internet,-79.99,debit,Utilities,Comcast Internet,bill
TXN0000245,5/8/2024,Hulu + Live TV,-69.99,debit,Entertainment,Hulu,subscription
TXN0000246,5/8/2024,Dunkin - Coffee,-4.13,debit,Food & Drink,Dunkin,normal
TXN0000247,5/8/2024,76 Gas,-68.93,debit,Transportation,76 Gas,normal
TXN0000248,5/9/2024,Local Cafe - Coffee,-4.64,debit,Food & Drink,Local Cafe,normal
TXN0000249,5/9/2024,IKEA,-261.85,debit,Shopping,IKEA,normal
TXN0000250,5/9/2024,Chevron,-60.77,debit,Transportation,Chevron,normal
TXN0000251,5/10/2024,AT&T Phone,-65.0,debit,Utilities,AT&T Phone,bill
TXN0000253,5/11/2024,Blue Bottle Coffee - Coffee,-10.07,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000252,5/11/2024,Local Cafe - Coffee,-6.16,debit,Food & Drink,Local Cafe,normal
TXN0000254,5/11/2024,Safeway,-139.86,debit,Groceries,Safeway,normal
TXN0000255,5/12/2024,Spotify Premium,-10.99,debit,Entertainment,Spotify,subscription
TXN0000256,5/14/2024,Geico Auto Insurance,-165.0,debit,Insurance,Geico,bill
TXN0000257,5/14/2024,H&M,-92.7,debit,Shopping,H&M,normal
TXN0000258,5/14/2024,H&M,-159.38,debit,Shopping,H&M,normal
TXN0000259,5/14/2024,Uber Ride,-31.69,debit,Transportation,Uber,normal
TXN0000260,5/15/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000261,5/15/2024,Netflix Subscription,-15.99,debit,Entertainment,Netflix,subscription
TXN0000262,5/15/2024,Chipotle,-20.78,debit,Dining Out,Chipotle,normal
TXN0000263,5/15/2024,Dunkin - Coffee,-5.95,debit,Food & Drink,Dunkin,normal
TXN0000264,5/15/2024,Local Cafe - Coffee,-4.26,debit,Food & Drink,Local Cafe,normal
TXN0000265,5/16/2024,Target,-67.73,debit,Groceries,Target,normal
TXN0000267,5/17/2024,Airbnb Refund,240.0,credit,Travel,Airbnb,normal
TXN0000266,5/17/2024,76 Gas,-80.87,debit,Transportation,76 Gas,normal
TXN0000268,5/18/2024,Headspace Premium,-12.49,debit,Health,Headspace,subscription
TXN0000269,5/18/2024,Chipotle,-41.54,debit,Dining Out,Chipotle,normal
TXN0000270,5/18/2024,Chipotle,-22.33,debit,Dining Out,Chipotle,normal
TXN0000271,5/18/2024,Walmart,-29.08,debit,Groceries,Walmart,normal
TXN0000272,5/19/2024,Taco Bell,-30.59,debit,Dining Out,Taco Bell,normal
TXN0000273,5/20/2024,Amazon Prime Membership,-14.99,debit,Shopping,Amazon Prime Video,subscription
TXN0000274,5/20/2024,Blue Bottle Coffee - Coffee,-10.17,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000275,5/20/2024,Best Buy - Electronics,-1800.0,debit,Electronics,Best Buy,normal
TXN0000277,5/21/2024,Chipotle,-17.51,debit,Dining Out,Chipotle,normal
TXN0000276,5/21/2024,Shell,-78.16,debit,Transportation,Shell,normal
TXN0000280,5/22/2024,Shake Shack,-25.08,debit,Dining Out,Shake Shack,normal
TXN0000278,5/22/2024,Shell,-80.58,debit,Transportation,Shell,normal
TXN0000279,5/22/2024,Dunkin - Coffee,-4.55,debit,Food & Drink,Dunkin,normal
TXN0000281,5/23/2024,IKEA,-167.99,debit,Shopping,IKEA,normal
TXN0000282,5/24/2024,IKEA,-337.53,debit,Shopping,IKEA,normal
TXN0000283,5/24/2024,Trader Joes,-83.54,debit,Groceries,Trader Joes,normal
TXN0000284,5/25/2024,Trader Joes,-20.37,debit,Groceries,Trader Joes,normal
TXN0000285,5/25/2024,Taco Bell,-19.84,debit,Dining Out,Taco Bell,normal
TXN0000286,5/26/2024,Taco Bell,-29.19,debit,Dining Out,Taco Bell,normal
TXN0000287,5/26/2024,Trader Joes,-100.42,debit,Groceries,Trader Joes,normal
TXN0000289,5/27/2024,76 Gas,-82.98,debit,Transportation,76 Gas,normal
TXN0000288,5/27/2024,Pizza Hut,-12.92,debit,Dining Out,Pizza Hut,normal
TXN0000290,5/28/2024,Shake Shack,-41.17,debit,Dining Out,Shake Shack,normal
TXN0000291,5/28/2024,Pizza Hut,-11.84,debit,Dining Out,Pizza Hut,normal
TXN0000292,5/30/2024,Taco Bell,-26.92,debit,Dining Out,Taco Bell,normal
TXN0000293,5/30/2024,Uber Ride,-32.34,debit,Transportation,Uber,normal
TXN0000294,5/30/2024,Chevron,-50.6,debit,Transportation,Chevron,normal
TXN0000295,5/31/2024,Target,-86.63,debit,Groceries,Target,normal
TXN0000300,6/1/2024,Trader Joes,-102.71,debit,Groceries,Trader Joes,normal
TXN0000299,6/1/2024,H&M,-56.12,debit,Shopping,H&M,normal
TXN0000301,6/1/2024,Airbnb Refund,240.0,credit,Travel,Airbnb,normal
TXN0000297,6/1/2024,Rent Payment - Oak Street Apartments,-1650.0,debit,Housing,Oak Street Apartments,bill
TXN0000296,6/1/2024,ACME Corp - Salary Deposit,4500.0,credit,Income,ACME Corp,normal
TXN0000298,6/1/2024,Chevron,-78.32,debit,Transportation,Chevron,normal
TXN0000302,6/3/2024,Planet Fitness Monthly,-24.99,debit,Fitness,Planet Fitness,subscription
TXN0000303,6/3/2024,Local Cafe - Coffee,-5.76,debit,Food & Drink,Local Cafe,normal
TXN0000304,6/3/2024,Safeway,-92.72,debit,Groceries,Safeway,normal
TXN0000305,6/3/2024,Chipotle,-22.28,debit,Dining Out,Chipotle,normal
TXN0000306,6/4/2024,Chevron,-71.59,debit,Transportation,Chevron,normal
TXN0000307,6/4/2024,76 Gas,-77.04,debit,Transportation,76 Gas,normal
TXN0000308,6/4/2024,Whole Foods,-37.11,debit,Groceries,Whole Foods,normal
TXN0000309,6/5/2024,PG&E Electric,-92.0,debit,Utilities,PG&E Electric,bill
TXN0000310,6/5/2024,Blue Bottle Coffee - Coffee,-8.98,debit,Food & Drink,Blue Bottle Coffee,normal
TXN0000313,6/6/2024,Starbucks - Coffee,-8.09,debit,Food & Drink,Starbucks,normal
